"","annotation"
"P16.MAA001869.3_38_F.1.1","Enterocyte 1"
"D19.MAA001869.3_38_F.1.1","Amplifying Cell"
"J11.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"K16.MAA001869.3_38_F.1.1","Enterocyte 1"
"M1.MAA001869.3_38_F.1.1","Tuft Cell"
"N8.MAA001869.3_38_F.1.1","Goblet Cell 2"
"O15.MAA001869.3_38_F.1.1","Enterocyte 1"
"P17.MAA001869.3_38_F.1.1","Enterocyte 1"
"D21.MAA001869.3_38_F.1.1","Chromaffin Cell"
"F11.MAA001869.3_38_F.1.1","Goblet Cell 2"
"G18.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I6.MAA001869.3_38_F.1.1","Cycling Undiff. Cell"
"P18.MAA001869.3_38_F.1.1","Enterocyte 1"
"E1.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"F12.MAA001869.3_38_F.1.1","Tuft Cell"
"G19.MAA001869.3_38_F.1.1","Enterocyte 1"
"I7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"J12.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"K18.MAA001869.3_38_F.1.1","Cycling Undiff. Cell"
"M2.MAA001869.3_38_F.1.1","Cycling Undiff. Cell"
"N10.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"E2.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"P19.MAA001869.3_38_F.1.1","Enterocyte 1"
"E3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"F14.MAA001869.3_38_F.1.1","Enterocyte 1"
"F13.MAA001869.3_38_F.1.1","Enterocyte 1"
"G21.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"J14.MAA001869.3_38_F.1.1","Enterocyte 1"
"G20.MAA001869.3_38_F.1.1","Non-Cycling Undiff. Cell"
"I8.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"J13.MAA001869.3_38_F.1.1","Enterocyte 1"
"K21.MAA001869.3_38_F.1.1","Enterocyte 1"
"M3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"N11.MAA001869.3_38_F.1.1","Enterocyte 1"
"O17.MAA001869.3_38_F.1.1","Enterocyte 1"
"L1.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"E5.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"F15.MAA001869.3_38_F.1.1","Enterocyte 1"
"G22.MAA001869.3_38_F.1.1","Amplifying Cell"
"M4.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I10.MAA001869.3_38_F.1.1","Goblet Cell 2"
"J15.MAA001869.3_38_F.1.1","Enterocyte 1"
"L2.MAA001869.3_38_F.1.1","Goblet Cell 2"
"N12.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"O18.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"P20.MAA001869.3_38_F.1.1","Enterocyte 1"
"M5.MAA001869.3_38_F.1.1","Non-Cycling Undiff. Cell"
"E7.MAA001869.3_38_F.1.1","Amplifying Cell"
"F16.MAA001869.3_38_F.1.1","Enterocyte 1"
"H1.MAA001869.3_38_F.1.1","Goblet Cell 2"
"I11.MAA001869.3_38_F.1.1","Amplifying Cell"
"J16.MAA001869.3_38_F.1.1","Enterocyte 1"
"L3.MAA001869.3_38_F.1.1","Amplifying Cell"
"N13.MAA001869.3_38_F.1.1","Enterocyte 1"
"M6.MAA001869.3_38_F.1.1","Amplifying Cell"
"P21.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"N14.MAA001869.3_38_F.1.1","Enterocyte 1"
"E8.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"F18.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"H2.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I12.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"J17.MAA001869.3_38_F.1.1","Enterocyte 1"
"L4.MAA001869.3_38_F.1.1","Tuft Cell"
"M8.MAA001869.3_38_F.1.1","Goblet Cell 2"
"N16.MAA001869.3_38_F.1.1","Enterocyte 1"
"O21.MAA001869.3_38_F.1.1","Enterocyte 1"
"P22.MAA001869.3_38_F.1.1","Enterocyte 1"
"M9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"N18.MAA001869.3_38_F.1.1","Enterocyte 1"
"O22.MAA001869.3_38_F.1.1","Enterocyte 1"
"E11.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"F20.MAA001869.3_38_F.1.1","Enterocyte 1"
"H5.MAA001869.3_38_F.1.1","Cycling Undiff. Cell"
"E9.MAA001869.3_38_F.1.1","Amplifying Cell"
"F19.MAA001869.3_38_F.1.1","Goblet Cell 4"
"H3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I13.MAA001869.3_38_F.1.1","Enterocyte 1"
"J19.MAA001869.3_38_F.1.1","Enterocyte 1"
"L5.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I15.MAA001869.3_38_F.1.1","Enterocyte 1"
"E13.MAA001869.3_38_F.1.1","Amplifying Cell"
"F21.MAA001869.3_38_F.1.1","Enterocyte 1"
"H7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I16.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"J22.MAA001869.3_38_F.1.1","Enterocyte 1"
"J20.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"L7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"M12.MAA001869.3_38_F.1.1","Amplifying Cell"
"N22.MAA001869.3_38_F.1.1","Amplifying Cell"
"L6.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"M10.MAA001869.3_38_F.1.1","Goblet Cell 2"
"N19.MAA001869.3_38_F.1.1","Amplifying Cell"
"P1.MAA001869.3_38_F.1.1","Amplifying Cell"
"P2.MAA001869.3_38_F.1.1","Goblet Cell 2"
"F22.MAA001869.3_38_F.1.1","Enterocyte 1"
"H8.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I17.MAA001869.3_38_F.1.1","Enterocyte 1"
"K1.MAA001869.3_38_F.1.1","Non-Cycling Undiff. Cell"
"L8.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"M13.MAA001869.3_38_F.1.1","Enterocyte 1"
"O1.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"P3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"E17.MAA001869.3_38_F.1.1","Enterocyte 1"
"O2.MAA001869.3_38_F.1.1","Amplifying Cell"
"E20.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"G2.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"H10.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"E18.MAA001869.3_38_F.1.1","Enterocyte 1"
"G1.MAA001869.3_38_F.1.1","Amplifying Cell"
"H9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I18.MAA001869.3_38_F.1.1","Enterocyte 1"
"K2.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"L9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"M14.MAA001869.3_38_F.1.1","Enterocyte 1"
"I20.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"E21.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"G3.MAA001869.3_38_F.1.1","Amplifying Cell"
"K3.MAA001869.3_38_F.1.1","Goblet Cell 2"
"H12.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"I21.MAA001869.3_38_F.1.1","Enterocyte 1"
"L10.MAA001869.3_38_F.1.1","Goblet Cell 2"
"M15.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"O3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"P5.MAA001869.3_38_F.1.1","Goblet Cell 2"
"K4.MAA001869.3_38_F.1.1","Amplifying Cell"
"E22.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"G4.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"H13.MAA001869.3_38_F.1.1","Enterocyte 1"
"I22.MAA001869.3_38_F.1.1","Enterocyte 1"
"K5.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"L11.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"L12.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"M18.MAA001869.3_38_F.1.1","Amplifying Cell"
"P6.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"M20.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"F1.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"G5.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"H14.MAA001869.3_38_F.1.1","Enterocyte 1"
"J1.MAA001869.3_38_F.1.1","Non-Cycling Undiff. Cell"
"K6.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"M21.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"O5.MAA001869.3_38_F.1.1","Amplifying Cell"
"O6.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"P8.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"H16.MAA001869.3_38_F.1.1","Enterocyte 1"
"J2.MAA001869.3_38_F.1.1","Non-Cycling Undiff. Cell"
"K7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"L14.MAA001869.3_38_F.1.1","Enterocyte 1"
"M22.MAA001869.3_38_F.1.1","Enterocyte 1"
"O7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"P9.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"F2.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"G7.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"L15.MAA001869.3_38_F.1.1","Enterocyte 1"
"N1.MAA001869.3_38_F.1.1","Amplifying Cell"
"P10.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"F3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"G8.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"H17.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"J3.MAA001869.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"K8.MAA001869.3_38_F.1.1","Goblet Cell 2"
"A12.MAA001872.3_39_F.1.1","Amplifying Cell"
"B17.MAA001872.3_39_F.1.1","Enterocyte 1"
"D5.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"E8.MAA001872.3_39_F.1.1","Amplifying Cell"
"F13.MAA001872.3_39_F.1.1","Enterocyte 1"
"G19.MAA001872.3_39_F.1.1","Goblet Cell 2"
"I2.MAA001872.3_39_F.1.1","Amplifying Cell"
"J6.MAA001872.3_39_F.1.1","Amplifying Cell"
"K12.MAA001872.3_39_F.1.1","Amplifying Cell"
"L15.MAA001872.3_39_F.1.1","Enterocyte 1"
"D6.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"E9.MAA001872.3_39_F.1.1","Goblet Cell 2"
"F14.MAA001872.3_39_F.1.1","Enterocyte 1"
"G20.MAA001872.3_39_F.1.1","Amplifying Cell"
"I3.MAA001872.3_39_F.1.1","Amplifying Cell"
"J7.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"K13.MAA001872.3_39_F.1.1","Enterocyte 1"
"B20.MAA001872.3_39_F.1.1","Enterocyte 1"
"I4.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"J8.MAA001872.3_39_F.1.1","Amplifying Cell"
"A15.MAA001872.3_39_F.1.1","Enterocyte 1"
"B22.MAA001872.3_39_F.1.1","Enterocyte 1"
"A14.MAA001872.3_39_F.1.1","Enterocyte 1"
"B21.MAA001872.3_39_F.1.1","Tuft Cell"
"D7.MAA001872.3_39_F.1.1","Amplifying Cell"
"E10.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"F15.MAA001872.3_39_F.1.1","Enterocyte 1"
"G22.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"D8.MAA001872.3_39_F.1.1","Amplifying Cell"
"A16.MAA001872.3_39_F.1.1","Enterocyte 1"
"C1.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"D9.MAA001872.3_39_F.1.1","Goblet Cell 2"
"E11.MAA001872.3_39_F.1.1","Amplifying Cell"
"E12.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"F17.MAA001872.3_39_F.1.1","Enterocyte 1"
"H2.MAA001872.3_39_F.1.1","Amplifying Cell"
"F16.MAA001872.3_39_F.1.1","Enterocyte 1"
"H1.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"I5.MAA001872.3_39_F.1.1","Amplifying Cell"
"J10.MAA001872.3_39_F.1.1","Amplifying Cell"
"K15.MAA001872.3_39_F.1.1","Enterocyte 1"
"I6.MAA001872.3_39_F.1.1","Amplifying Cell"
"A17.MAA001872.3_39_F.1.1","Enterocyte 1"
"C2.MAA001872.3_39_F.1.1","Amplifying Cell"
"D10.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"E14.MAA001872.3_39_F.1.1","Enterocyte 1"
"F19.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"H3.MAA001872.3_39_F.1.1","Goblet Cell 2"
"J11.MAA001872.3_39_F.1.1","Goblet Cell 2"
"I7.MAA001872.3_39_F.1.1","Amplifying Cell"
"J12.MAA001872.3_39_F.1.1","Goblet Cell 2"
"K16.MAA001872.3_39_F.1.1","Enterocyte 1"
"K17.MAA001872.3_39_F.1.1","Enterocyte 1"
"C3.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"D11.MAA001872.3_39_F.1.1","Amplifying Cell"
"E15.MAA001872.3_39_F.1.1","Enterocyte 1"
"F20.MAA001872.3_39_F.1.1","Amplifying Cell"
"H4.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"I8.MAA001872.3_39_F.1.1","Amplifying Cell"
"J13.MAA001872.3_39_F.1.1","Enterocyte 1"
"K18.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"A19.MAA001872.3_39_F.1.1","Enterocyte 1"
"I10.MAA001872.3_39_F.1.1","Amplifying Cell"
"J16.MAA001872.3_39_F.1.1","Enterocyte 1"
"K19.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"A22.MAA001872.3_39_F.1.1","Amplifying Cell"
"C4.MAA001872.3_39_F.1.1","Amplifying Cell"
"D12.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"E16.MAA001872.3_39_F.1.1","Enterocyte 1"
"F21.MAA001872.3_39_F.1.1","Tuft Cell"
"H5.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"B1.MAA001872.3_39_F.1.1","Amplifying Cell"
"B2.MAA001872.3_39_F.1.1","Goblet Cell 2"
"C5.MAA001872.3_39_F.1.1","Amplifying Cell"
"C7.MAA001872.3_39_F.1.1","Goblet Cell 2"
"D14.MAA001872.3_39_F.1.1","Enterocyte 1"
"E20.MAA001872.3_39_F.1.1","Amplifying Cell"
"D13.MAA001872.3_39_F.1.1","Enterocyte 1"
"E17.MAA001872.3_39_F.1.1","Enterocyte 1"
"F22.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"H6.MAA001872.3_39_F.1.1","Amplifying Cell"
"I11.MAA001872.3_39_F.1.1","Amplifying Cell"
"J17.MAA001872.3_39_F.1.1","Enterocyte 1"
"K20.MAA001872.3_39_F.1.1","Enterocyte 1"
"G1.MAA001872.3_39_F.1.1","Amplifying Cell"
"B3.MAA001872.3_39_F.1.1","Amplifying Cell"
"C8.MAA001872.3_39_F.1.1","Amplifying Cell"
"D15.MAA001872.3_39_F.1.1","Enterocyte 1"
"E21.MAA001872.3_39_F.1.1","Tuft Cell"
"G2.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"H8.MAA001872.3_39_F.1.1","Goblet Cell 2"
"H7.MAA001872.3_39_F.1.1","Amplifying Cell"
"I13.MAA001872.3_39_F.1.1","Enterocyte 1"
"I12.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"J18.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"K22.MAA001872.3_39_F.1.1","Goblet Cell 2"
"J19.MAA001872.3_39_F.1.1","Enterocyte 1"
"B4.MAA001872.3_39_F.1.1","Goblet Cell 2"
"C9.MAA001872.3_39_F.1.1","Amplifying Cell"
"D16.MAA001872.3_39_F.1.1","Enterocyte 1"
"E22.MAA001872.3_39_F.1.1","Enterocyte 1"
"G3.MAA001872.3_39_F.1.1","Amplifying Cell"
"H9.MAA001872.3_39_F.1.1","Amplifying Cell"
"I14.MAA001872.3_39_F.1.1","Enterocyte 1"
"J20.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"L1.MAA001872.3_39_F.1.1","Amplifying Cell"
"L2.MAA001872.3_39_F.1.1","Amplifying Cell"
"F1.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"G4.MAA001872.3_39_F.1.1","Amplifying Cell"
"H10.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"I15.MAA001872.3_39_F.1.1","Enterocyte 1"
"J21.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"L3.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"B5.MAA001872.3_39_F.1.1","Amplifying Cell"
"C11.MAA001872.3_39_F.1.1","Amplifying Cell"
"D17.MAA001872.3_39_F.1.1","Enterocyte 1"
"G6.MAA001872.3_39_F.1.1","Amplifying Cell"
"H11.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"I16.MAA001872.3_39_F.1.1","Amplifying Cell"
"J22.MAA001872.3_39_F.1.1","Goblet Cell 2"
"L4.MAA001872.3_39_F.1.1","Amplifying Cell"
"A2.MAA001872.3_39_F.1.1","Amplifying Cell"
"A1.MAA001872.3_39_F.1.1","Amplifying Cell"
"B6.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"C12.MAA001872.3_39_F.1.1","Amplifying Cell"
"D19.MAA001872.3_39_F.1.1","Undiff. Cell (Batch Effect)"
"F2.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"B7.MAA001872.3_39_F.1.1","Amplifying Cell"
"A3.MAA001872.3_39_F.1.1","Amplifying Cell"
"C13.MAA001872.3_39_F.1.1","Enterocyte 1"
"B8.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"C14.MAA001872.3_39_F.1.1","Enterocyte 1"
"D21.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"D20.MAA001872.3_39_F.1.1","Tuft Cell"
"F3.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"G7.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"H12.MAA001872.3_39_F.1.1","Amplifying Cell"
"I17.MAA001872.3_39_F.1.1","Enterocyte 1"
"F4.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"A4.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"B9.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"C15.MAA001872.3_39_F.1.1","Enterocyte 1"
"D22.MAA001872.3_39_F.1.1","Enterocyte 1"
"F5.MAA001872.3_39_F.1.1","Amplifying Cell"
"G9.MAA001872.3_39_F.1.1","Goblet Cell 2"
"G8.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"H14.MAA001872.3_39_F.1.1","Enterocyte 1"
"I20.MAA001872.3_39_F.1.1","Enterocyte 1"
"K4.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"H13.MAA001872.3_39_F.1.1","Enterocyte 1"
"I19.MAA001872.3_39_F.1.1","Enterocyte 1"
"K3.MAA001872.3_39_F.1.1","Amplifying Cell"
"L6.MAA001872.3_39_F.1.1","Amplifying Cell"
"L7.MAA001872.3_39_F.1.1","Amplifying Cell"
"B10.MAA001872.3_39_F.1.1","Amplifying Cell"
"C16.MAA001872.3_39_F.1.1","Enterocyte 1"
"E1.MAA001872.3_39_F.1.1","Amplifying Cell"
"F6.MAA001872.3_39_F.1.1","Amplifying Cell"
"G10.MAA001872.3_39_F.1.1","Amplifying Cell"
"H16.MAA001872.3_39_F.1.1","Amplifying Cell"
"I21.MAA001872.3_39_F.1.1","Amplifying Cell"
"K5.MAA001872.3_39_F.1.1","Amplifying Cell"
"L8.MAA001872.3_39_F.1.1","Amplifying Cell"
"A5.MAA001872.3_39_F.1.1","Amplifying Cell"
"F7.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"G12.MAA001872.3_39_F.1.1","Amplifying Cell"
"H17.MAA001872.3_39_F.1.1","Enterocyte 1"
"I22.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"K6.MAA001872.3_39_F.1.1","Amplifying Cell"
"L9.MAA001872.3_39_F.1.1","Amplifying Cell"
"A6.MAA001872.3_39_F.1.1","Amplifying Cell"
"B11.MAA001872.3_39_F.1.1","Amplifying Cell"
"C20.MAA001872.3_39_F.1.1","Amplifying Cell"
"E2.MAA001872.3_39_F.1.1","Amplifying Cell"
"J1.MAA001872.3_39_F.1.1","Goblet Cell 2"
"K7.MAA001872.3_39_F.1.1","Amplifying Cell"
"L10.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"A7.MAA001872.3_39_F.1.1","Amplifying Cell"
"A8.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"B13.MAA001872.3_39_F.1.1","Enterocyte 1"
"D1.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"C21.MAA001872.3_39_F.1.1","Tuft Cell"
"E3.MAA001872.3_39_F.1.1","Amplifying Cell"
"F8.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"G13.MAA001872.3_39_F.1.1","Enterocyte 1"
"H19.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"E4.MAA001872.3_39_F.1.1","Amplifying Cell"
"A9.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"B14.MAA001872.3_39_F.1.1","Enterocyte 1"
"D2.MAA001872.3_39_F.1.1","Amplifying Cell"
"F9.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"E5.MAA001872.3_39_F.1.1","Goblet Cell 2"
"F10.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"G15.MAA001872.3_39_F.1.1","Enterocyte 1"
"G14.MAA001872.3_39_F.1.1","Enterocyte 1"
"H20.MAA001872.3_39_F.1.1","Enterocyte 1"
"J2.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"K8.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"L11.MAA001872.3_39_F.1.1","Amplifying Cell"
"H21.MAA001872.3_39_F.1.1","Tuft Cell"
"A10.MAA001872.3_39_F.1.1","Goblet Cell 2"
"B15.MAA001872.3_39_F.1.1","Enterocyte 1"
"D3.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"E6.MAA001872.3_39_F.1.1","Goblet Cell 2"
"F11.MAA001872.3_39_F.1.1","Amplifying Cell"
"G17.MAA001872.3_39_F.1.1","Enterocyte 1"
"H22.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"J4.MAA001872.3_39_F.1.1","Goblet Cell 2"
"K10.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"L13.MAA001872.3_39_F.1.1","Enterocyte 1"
"J3.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"K9.MAA001872.3_39_F.1.1","Amplifying Cell"
"L12.MAA001872.3_39_F.1.1","Goblet Cell 2"
"E7.MAA001872.3_39_F.1.1","Amplifying Cell"
"F12.MAA001872.3_39_F.1.1","Amplifying Cell"
"G18.MAA001872.3_39_F.1.1","Amplifying Cell"
"I1.MAA001872.3_39_F.1.1","Goblet Cell 2"
"J5.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"K11.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"L14.MAA001872.3_39_F.1.1","Enterocyte 1"
"M19.MAA001872.3_39_F.1.1","Enterocyte 1"
"O2.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"P7.MAA001872.3_39_F.1.1","Goblet Cell 2"
"A11.MAA001872.3_39_F.1.1","Amplifying Cell"
"B16.MAA001872.3_39_F.1.1","Enterocyte 1"
"D4.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"M21.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"O3.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"P8.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"O4.MAA001872.3_39_F.1.1","Amplifying Cell"
"M22.MAA001872.3_39_F.1.1","Enterocyte 1"
"L19.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"N1.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"O5.MAA001872.3_39_F.1.1","Amplifying Cell"
"P10.MAA001872.3_39_F.1.1","Goblet Cell 2"
"L20.MAA001872.3_39_F.1.1","Enterocyte 1"
"L21.MAA001872.3_39_F.1.1","Enterocyte 1"
"N3.MAA001872.3_39_F.1.1","Amplifying Cell"
"O7.MAA001872.3_39_F.1.1","Amplifying Cell"
"P12.MAA001872.3_39_F.1.1","Goblet Cell 2"
"N2.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"O6.MAA001872.3_39_F.1.1","Amplifying Cell"
"P11.MAA001872.3_39_F.1.1","Amplifying Cell"
"M1.MAA001872.3_39_F.1.1","Amplifying Cell"
"N4.MAA001872.3_39_F.1.1","Goblet Cell 2"
"O8.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"P13.MAA001872.3_39_F.1.1","Enterocyte 1"
"M2.MAA001872.3_39_F.1.1","Goblet Cell 2"
"N5.MAA001872.3_39_F.1.1","Amplifying Cell"
"M3.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"O9.MAA001872.3_39_F.1.1","Goblet Cell 2"
"P14.MAA001872.3_39_F.1.1","Enterocyte 1"
"N6.MAA001872.3_39_F.1.1","Amplifying Cell"
"O10.MAA001872.3_39_F.1.1","Goblet Cell 2"
"P15.MAA001872.3_39_F.1.1","Enterocyte 1"
"M4.MAA001872.3_39_F.1.1","Goblet Cell 2"
"N7.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"O11.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"P16.MAA001872.3_39_F.1.1","Enterocyte 1"
"M5.MAA001872.3_39_F.1.1","Amplifying Cell"
"O12.MAA001872.3_39_F.1.1","Amplifying Cell"
"P17.MAA001872.3_39_F.1.1","Enterocyte 1"
"N9.MAA001872.3_39_F.1.1","Amplifying Cell"
"O13.MAA001872.3_39_F.1.1","Enterocyte 1"
"M6.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"M7.MAA001872.3_39_F.1.1","Amplifying Cell"
"N10.MAA001872.3_39_F.1.1","Goblet Cell 2"
"O14.MAA001872.3_39_F.1.1","Enterocyte 1"
"P19.MAA001872.3_39_F.1.1","Tuft Cell"
